thread_count;best_depth;max_depth;iter;time_taken;no_results
1;21;40;833546;9.752990;0
1;21;60;983512;11.545858;0
1;21;80;1532602;19.340424;0
1;21;100;2171017;30.164403;0
1;21;200;4439237;66.057406;0
1;21;500;13431441;200.174107;0
1;21;1000;35209660;548.996314;0
1;21;40;833546;10.694816;0
1;21;60;983512;11.577067;0
1;21;80;1532602;18.868737;0
1;21;100;2171017;31.312858;0
1;21;200;4439237;60.984118;0
1;21;500;13431441;172.075097;0
1;21;1000;35209660;471.930165;0
1;21;40;833546;8.372425;0
1;21;60;983512;11.951624;0
1;21;80;1532602;18.618622;0
1;21;100;2171017;30.352820;0
1;21;200;4439237;63.572838;0
1;21;500;13431441;185.262324;0
1;21;1000;35209660;482.458944;0
1;21;40;833546;9.107543;0
1;21;60;983512;9.755231;0
1;21;80;1532602;17.194801;0
1;21;100;2171017;26.072425;0
1;21;200;4439237;59.278970;0
1;21;500;13431441;195.883899;0
1;21;1000;35209660;560.641620;0
1;21;40;833546;11.000558;0
1;21;60;983512;12.003948;0
1;21;80;1532602;20.379518;0
1;21;100;2171017;28.645724;0
1;21;200;4439237;66.367689;0
1;21;500;13431441;188.367535;0
1;21;1000;35209660;549.237220;0
;;;;;
4;21;40;861902;3.589785;0
4;21;60;990128;4.094496;0
4;21;80;1542009;6.450996;0
4;21;100;2174682;9.013146;0
4;21;200;4439237;18.117756;0
4;21;500;13455996;47.216028;0
4;21;1000;35209660;131.994894;0
4;21;40;861902;3.864220;0
4;21;60;990128;4.042366;0
4;21;80;1542009;6.438157;0
4;21;100;2174682;9.941778;0
4;21;200;4439237;16.717887;0
4;21;500;13455996;50.823123;0
4;21;1000;35209660;131.453078;0
4;21;40;861902;3.595046;0
4;21;60;990128;4.009919;0
4;21;80;1542009;6.737455;0
4;21;100;2174682;8.226352;0
4;21;200;4439237;17.983184;0
4;21;500;13455996;52.383731;0
4;21;1000;35209660;130.631937;0
4;21;40;861902;3.756024;0
4;21;60;990128;4.018066;0
4;21;80;1542009;6.324874;0
4;21;100;2174682;8.245919;0
4;21;200;4439237;17.903025;0
4;21;500;13455996;48.751587;0
4;21;1000;35209660;131.644746;0
4;21;40;861902;3.626903;0
4;21;60;990128;3.926251;0
4;21;80;1542009;10.003955;0
4;21;100;2174682;7.992039;0
4;21;200;4439237;16.799145;0
4;21;500;13455996;50.944713;0
4;21;1000;35209660;125.973810;0
4;21;1500;54162281;198.601639;0
4;21;1500;54162281;199.872790;0
4;21;1500;54162281;202.531312;0
4;21;1500;54162281;203.558236;0
4;21;1500;54162281;199.096314;0
4;21;2000;68595388;203.562022;0
4;21;2000;68595388;205.362017;0
4;21;2000;68595388;205.292814;0
4;21;2000;68595388;211.963334;0
4;21;2000;68595388;212.892779;0
4;21;2000;68595388;227.428895;0
;;;;;
4;21;40;774001;4.625358;0
4;21;60;1644685;8.318987;0
4;21;80;1720890;8.819538;0
4;21;100;2768598;13.660971;0
4;21;200;6042188;29.115019;0
4;21;500;12839942;64.075932;0
4;21;1000;22233002;111.654793;0
4;21;40;947832;5.791697;0
4;21;60;1724339;9.895049;0
4;21;80;2484528;13.698797;0
4;21;100;2934649;15.716873;0
4;21;200;6221308;31.045047;0
4;21;500;14020963;70.057554;0
4;21;1000;19693958;100.412219;0
4;21;40;1039077;6.953607;0
4;21;60;1806184;10.444208;0
4;21;80;2038412;11.316529;0
4;21;100;2418119;12.839357;0
4;21;200;5785526;29.582348;0
4;21;500;16150532;84.699486;0
4;21;1000;13848626;77.393352;0
4;21;40;954134;6.024371;0
4;21;60;1616940;9.055434;0
4;21;80;2249130;12.250802;0
4;21;100;2993743;15.978234;0
4;21;200;6039422;30.401134;0
4;21;500;10124596;50.710338;0
4;21;1000;27172290;141.892233;0
4;21;40;1094497;7.221317;0
4;21;60;1720493;9.818490;0
4;21;80;2423891;13.212774;0
4;21;100;840012;5.089484;0
4;21;200;5315748;27.676431;0
4;21;500;9603267;49.599745;0
4;21;1000;2634146;13.945593;0
4;21;1500;11487652;55.789436;0
4;21;1500;9916980;48.253606;0
4;21;1500;919459;5.260297;0
4;21;1500;34983245;178.122876;0
4;21;1500;923098;5.037014;0
4;21;1500;12353239;63.379283;0
4;21;2000;31519372;157.362105;0
4;21;2000;967739;5.381598;0
4;21;2000;1490433;7.899530;0
4;21;2000;16911114;87.685436;0
4;21;2000;7098683;35.170026;0
4;21;2000;26629390;143.845531;0
